419	133		245	193
728	133		245	193
419	382		245	193
728	382		245	193
83	840		245	193
540	847		245	193
991	852		245	193
73	1138		245	193
532	1137		245	193
984	1140		245	193

424	114		248	194
747	114		248	194
424	393		248	194
747	393		248	194
82	840		248	194
536	847		248	194
987	854		248	194
76	1137		248	194
527	1137		248	194
983	1141		248	194

450	120		233	187
744	120		233	187
450	377		233	187
744	377		233	187
99	862		233	187
541	866		233	187
974	868		233	187
94	1148		233	187
532	1145		233	187
970	1147		233	187

427	127		248	195
739	127		248	195
427	385		248	195
739	385		248	195
78	839		248	195
536	840		248	195
987	839		248	195
77	1135		248	195
535	1137		248	195
985	1138		248	195

430	119		247	194
749	119		247	194
430	391		247	194
749	391		247	194
73	838		247	194
535	848		247	194
990	850		247	194
73	1134		247	194
530	1134		247	194
982	1139		247	194

428	121		248	194
748	121		248	194
428	393		248	194
748	393		248	194
79	844		248	194
542	850		248	194
991	847		248	194
77	1137		248	194
539	1136		248	194
990	1134		248	194

424	119		247	194
746	119		247	194
424	392		247	194
746	392		247	194
76	838		247	194
537	840		247	194
987	840		247	194
74	1136		247	194
534	1138		247	194
987	1138		247	194

428	122		248	194
749	122		248	194
428	394		248	194
749	394		248	194
79	850		248	194
542	852		248	194
986	851		248	194
79	1136		248	194
543	1136		248	194
986	1137		248	194

404	118		247	195
755	118		247	195
404	394		247	195
755	394		247	195
75	851		247	195
539	845		247	195
991	855		247	195
71	1135		247	195
537	1132		247	195
989	1138		247	195

463	138		217	168
738	138		217	168
463	400		217	168
738	400		217	168
84	852		217	168
537	859		217	168
989	865		217	168
78	1150		217	168
529	1149		217	168
985	1152		217	168

420	122		247	196
751	122		247	196
420	394		247	196
751	394		247	196
78	841		247	196
536	846		247	196
988	851		247	196
72	1139		247	196
527	1136		247	196
986	1139		247	196

422	123		248	194
744	123		248	194
422	391		248	194
744	391		248	194
83	840		248	194
536	846		248	194
987	851		248	194
78	1138		248	194
528	1136		248	194
984	1139		248	194

395	130		247	195
747	130		247	195
395	391		247	195
747	391		247	195
80	839		247	195
538	845		247	195
989	851		247	195
74	1136		247	195
529	1135		247	195
987	1138		247	195

417	125		247	194
744	125		247	194
417	392		247	194
744	392		247	194
79	841		247	194
531	843		247	194
987	844		247	194
78	1136		247	194
531	1136		247	194
986	1136		247	194

423	122		246	194
746	122		246	194
423	393		246	194
746	393		246	194
77	851		246	194
537	847		246	194
988	849		246	194
74	1141		246	194
535	1141		246	194
987	1140		246	194

422	121		249	194
746	121		249	194
422	393		249	194
746	393		249	194
80	835		249	194
535	842		249	194
988	845		249	194
77	1137		249	194
531	1134		249	194
983	1135		249	194

411	137		248	193
746	137		248	193
411	377		248	193
746	377		248	193
77	840		248	193
536	847		248	193
987	852		248	193
71	1138		248	193
527	1136		248	193
985	1139		248	193

431	123		248	194
747	123		248	194
431	396		248	194
747	396		248	194
84	839		248	194
538	846		248	194
990	852		248	194
78	1136		248	194
530	1135		248	194
987	1139		248	194

420	126		248	194
748	126		248	194
420	388		248	194
748	388		248	194
79	838		248	194
537	844		248	194
989	849		248	194
73	1136		248	194
529	1134		248	194
987	1136		248	194

421	125		248	194
743	125		248	194
421	392		248	194
743	392		248	194
82	840		248	194
534	846		248	194
986	851		248	194
77	1138		248	194
527	1136		248	194
984	1138		248	194

433	124		247	194
755	124		247	194
433	392		247	194
755	392		247	194
80	841		247	194
537	846		247	194
990	850		247	194
73	1138		247	194
529	1136		247	194
987	1138		247	194

425	120		248	194
746	120		248	194
425	394		248	194
746	394		248	194
84	839		248	194
536	847		248	194
988	852		248	194
77	1136		248	194
528	1136		248	194
984	1139		248	194

430	122		245	193
747	122		245	193
430	393		245	193
747	393		245	193
81	842		245	193
539	847		245	193
990	852		245	193
75	1139		245	193
530	1137		245	193
987	1139		245	193

410	115		248	195
747	115		248	195
410	401		248	195
747	401		248	195
81	839		248	195
535	846		248	195
986	852		248	195
77	1137		248	195
527	1136		248	195
983	1139		248	195

327	100		221	172
588	100		221	172
849	100		221	172
327	270		221	172
588	270		221	172
849	270		221	158
327	440		221	172
588	440		221	172
849	440		221	172
50	885		221	172
